table,register_name,bits,field_name,description,type,reset
Table 4-144: por_ccla_errfr_NS attributes,por_ccla_errfr_NS,[63:15],Reserved,Reserved,RO,-
Table 4-144: por_ccla_errfr_NS attributes,por_ccla_errfr_NS,[14:12],CEC,Standard corrected error count mechanism 3'b000,RO,-
Table 4-144: por_ccla_errfr_NS attributes,por_ccla_errfr_NS,[11:10],CFI,Corrected error interrupt 2'b00,RO,-
Table 4-144: por_ccla_errfr_NS attributes,por_ccla_errfr_NS,[9:8],Reserved,Reserved,RO,-
Table 4-144: por_ccla_errfr_NS attributes,por_ccla_errfr_NS,[7:6],FI,Fault handling interrupt 2'b10,RO,-
Table 4-144: por_ccla_errfr_NS attributes,por_ccla_errfr_NS,[5:4],UI,Uncorrected error interrupt 2'b10,RO,-
Table 4-144: por_ccla_errfr_NS attributes,por_ccla_errfr_NS,[3:2],DE,Deferred errors for data poison 2'b01,RO,-
Table 4-144: por_ccla_errfr_NS attributes,por_ccla_errfr_NS,[1:0],ED,Error detection 2'b01,RO,-
Table 4-145: por_ccla_errctlr_NS attributes,por_ccla_errctlr_NS,[63:9],Reserved,Reserved,RO,-
Table 4-145: por_ccla_errctlr_NS attributes,por_ccla_errctlr_NS,[8],CFI,Enables corrected error interrupt as specified in por_ccla_errfr.CFI 1'b0,RW,-
Table 4-145: por_ccla_errctlr_NS attributes,por_ccla_errctlr_NS,[7:4],Reserved,Reserved,RO,-
Table 4-145: por_ccla_errctlr_NS attributes,por_ccla_errctlr_NS,[3],FI,Enables fault handling interrupt for all detected deferred errors as specified in por_ccla_errfr.FI 1'b0,RW,-
Table 4-145: por_ccla_errctlr_NS attributes,por_ccla_errctlr_NS,[2],UI,Enables uncorrected error interrupt as specified in por_ccla_errfr.UI 1'b0,RW,-
Table 4-145: por_ccla_errctlr_NS attributes,por_ccla_errctlr_NS,[1],DE,Enables error deferment as specified in por_ccla_errfr.DE 1'b0,RW,-
Table 4-145: por_ccla_errctlr_NS attributes,por_ccla_errctlr_NS,[0],ED,Enables error detection as specified in por_ccla_errfr.ED 1'b0,RW,-
Table 4-146: por_ccla_errstatus_NS attributes,por_ccla_errstatus_NS,[63:32],Reserved,Reserved,RO,-
Table 4-146: por_ccla_errstatus_NS attributes,por_ccla_errstatus_NS,[31],AV,"Address register valid; writes to this bit are ignored if any of the UE, DE, or CE bits are set to 1, and the 1'b0",W1C,-
Table 4-146: por_ccla_errstatus_NS attributes,por_ccla_errstatus_NS,[30],V,"Register valid; writes to this bit are ignored if any of the UE, DE, or CE bits are set to 1, and are not 1'b0",W1C,-
Table 4-146: por_ccla_errstatus_NS attributes,por_ccla_errstatus_NS,[29],UE,"Uncorrected errors; writes to this bit are ignored if the OF bit is set to 1, and is not cleared to 0 in the 1'b0",W1C,-
Table 4-146: por_ccla_errstatus_NS attributes,por_ccla_errstatus_NS,[28],Reserved,Reserved,RO,-
Table 4-146: por_ccla_errstatus_NS attributes,por_ccla_errstatus_NS,[27],OF,Overflow; asserted when multiple errors of the highest priority type are detected; write a 1 to clear 1'b0,W1C,-
Table 4-146: por_ccla_errstatus_NS attributes,por_ccla_errstatus_NS,[26],MV,"por_ccla_errmisc valid; writes to this bit are ignored if any of the UE, DE, or CE bits are set to 1, and the 1'b0",W1C,-
Table 4-146: por_ccla_errstatus_NS attributes,por_ccla_errstatus_NS,[25],Reserved,Reserved,RO,-
Table 4-146: por_ccla_errstatus_NS attributes,por_ccla_errstatus_NS,[24],CE,"Corrected errors; writes to this bit are ignored if the OF bit is set to 1, and is not cleared to 0 in the same 1'b0",W1C,-
Table 4-146: por_ccla_errstatus_NS attributes,por_ccla_errstatus_NS,[23],DE,"Deferred errors; writes to this bit are ignored if the OF bit is set to 1, and is not cleared to 0 in the same 1'b0",W1C,-
Table 4-146: por_ccla_errstatus_NS attributes,por_ccla_errstatus_NS,[22:0],Reserved,Reserved,RO,-
Table 4-147: por_ccla_erraddr_NS attributes,por_ccla_erraddr_NS,[63],NS,Security status of transaction 1'b0,RW,-
Table 4-147: por_ccla_erraddr_NS attributes,por_ccla_erraddr_NS,[62:52],Reserved,Reserved,RO,-
Table 4-147: por_ccla_erraddr_NS attributes,por_ccla_erraddr_NS,[51:0],ADDR,Transaction address 52'b0,RW,-
Table 4-148: por_ccla_errmisc_NS attributes,por_ccla_errmisc_NS,[63:57],Reserved,Reserved,RO,-
Table 4-148: por_ccla_errmisc_NS attributes,por_ccla_errmisc_NS,[56:48],ERRSET,RAM entry set address for parity error 9'b0,RW,-
Table 4-148: por_ccla_errmisc_NS attributes,por_ccla_errmisc_NS,[47:20],Reserved,Reserved,RO,-
Table 4-148: por_ccla_errmisc_NS attributes,por_ccla_errmisc_NS,[19:4],SRCID,CCIX RAID of the requestor or the snoop target 16'b0,RW,-
Table 4-148: por_ccla_errmisc_NS attributes,por_ccla_errmisc_NS,[3:0],ERRSRC,Source of the parity error 4'b0000 Read data buffer 0 4'b0001 Read data buffer 1 4'b0010 Write data buffer 0 4'b0011 Write data buffer 1 4'b0100 Passive Buffer 4'b0101 CCLA Data RAM 4'b0110: PortFwd Data RAM 4'b0111 CXL Viral 4'b1000 CXL.Mem Poison 4'b1001 CXL.Cache Poison 4'b000,RW,-
Table 4-149: por_cfgm_node_info attributes,por_cfgm_node_info,[63:48],Reserved,Reserved,RO,-
Table 4-149: por_cfgm_node_info attributes,por_cfgm_node_info,[47:32],logical_id,Component logical ID dependent,RO,Configuration dependent
Table 4-149: por_cfgm_node_info attributes,por_cfgm_node_info,[31:16],node_id,Component CHI node ID dependent,RO,Configuration dependent
Table 4-149: por_cfgm_node_info attributes,por_cfgm_node_info,[15:0],node_type,CMN-700 node type identifier 16'h0002,RO,-
Table 4-150: por_cfgm_periph_id_0_periph_id_1 attributes,por_cfgm_periph_id_0_periph_id_1,[63:40],Reserved,Reserved,RO,-
Table 4-150: por_cfgm_periph_id_0_periph_id_1 attributes,por_cfgm_periph_id_0_periph_id_1,[39:32],periph_id_1,Peripheral ID 1 8'b10110100,RO,-
Table 4-150: por_cfgm_periph_id_0_periph_id_1 attributes,por_cfgm_periph_id_0_periph_id_1,[31:8],Reserved,Reserved,RO,-
Table 4-150: por_cfgm_periph_id_0_periph_id_1 attributes,por_cfgm_periph_id_0_periph_id_1,[7:0],periph_id_0,Peripheral ID 0 dependent,RO,Configuration dependent
Table 4-151: por_cfgm_periph_id_2_periph_id_3 attributes,por_cfgm_periph_id_2_periph_id_3,[63:40],Reserved,Reserved,RO,-
Table 4-151: por_cfgm_periph_id_2_periph_id_3 attributes,por_cfgm_periph_id_2_periph_id_3,[39:32],periph_id_3,Peripheral ID 3 8'b0,RO,-
Table 4-151: por_cfgm_periph_id_2_periph_id_3 attributes,por_cfgm_periph_id_2_periph_id_3,[31:8],Reserved,Reserved,RO,-
Table 4-151: por_cfgm_periph_id_2_periph_id_3 attributes,por_cfgm_periph_id_2_periph_id_3,[7:0],periph_id_2,Peripheral ID 2 [7:4] indicates revision: 0x0 r0p0 0x1 r1p0 0x2 r2p0 0x3 r3p0 [3] JEDEC,RO,Configuration dependent
Table 4-152: por_cfgm_periph_id_4_periph_id_5 attributes,por_cfgm_periph_id_4_periph_id_5,[63:40],Reserved,Reserved,RO,-
Table 4-152: por_cfgm_periph_id_4_periph_id_5 attributes,por_cfgm_periph_id_4_periph_id_5,[39:32],periph_id_5,Peripheral ID 5 8'b0,RO,-
Table 4-152: por_cfgm_periph_id_4_periph_id_5 attributes,por_cfgm_periph_id_4_periph_id_5,[31:8],Reserved,Reserved,RO,-
Table 4-152: por_cfgm_periph_id_4_periph_id_5 attributes,por_cfgm_periph_id_4_periph_id_5,[7:0],periph_id_4,Peripheral ID 4 8'b11000100,RO,-
Table 4-153: por_cfgm_periph_id_6_periph_id_7 attributes,por_cfgm_periph_id_6_periph_id_7,[63:40],Reserved,Reserved,RO,-
Table 4-153: por_cfgm_periph_id_6_periph_id_7 attributes,por_cfgm_periph_id_6_periph_id_7,[39:32],periph_id_7,Peripheral ID 7 8'b0,RO,-
Table 4-153: por_cfgm_periph_id_6_periph_id_7 attributes,por_cfgm_periph_id_6_periph_id_7,[31:8],Reserved,Reserved,RO,-
Table 4-153: por_cfgm_periph_id_6_periph_id_7 attributes,por_cfgm_periph_id_6_periph_id_7,[7:0],periph_id_6,Peripheral ID 6 8'b0,RO,-
Table 4-154: por_cfgm_component_id_0_component_id_1 attributes,por_cfgm_component_id_0_component_id_1,[63:40],Reserved,Reserved,RO,-
Table 4-154: por_cfgm_component_id_0_component_id_1 attributes,por_cfgm_component_id_0_component_id_1,[39:32],component_id_1,Component ID 1 8'b11110000,RO,-
Table 4-154: por_cfgm_component_id_0_component_id_1 attributes,por_cfgm_component_id_0_component_id_1,[31:8],Reserved,Reserved,RO,-
Table 4-154: por_cfgm_component_id_0_component_id_1 attributes,por_cfgm_component_id_0_component_id_1,[7:0],component_id_0,Component ID 0 8'b00001101,RO,-
Table 4-155: por_cfgm_component_id_2_component_id_3 attributes,por_cfgm_component_id_2_component_id_3,[63:40],Reserved,Reserved,RO,-
Table 4-155: por_cfgm_component_id_2_component_id_3 attributes,por_cfgm_component_id_2_component_id_3,[39:32],component_id_3,Component ID 3 8'b10110001,RO,-
Table 4-155: por_cfgm_component_id_2_component_id_3 attributes,por_cfgm_component_id_2_component_id_3,[31:8],Reserved,Reserved,RO,-
Table 4-155: por_cfgm_component_id_2_component_id_3 attributes,por_cfgm_component_id_2_component_id_3,[7:0],component_id_2,Component ID 2 8'b00000101,RO,-
Table 4-156: por_cfgm_child_info attributes,por_cfgm_child_info,[63:32],Reserved,Reserved,RO,-
Table 4-156: por_cfgm_child_info attributes,por_cfgm_child_info,[31:16],child_ptr_offset,Starting register offset which contains pointers to the child nodes 16'h100,RO,-
Table 4-156: por_cfgm_child_info attributes,por_cfgm_child_info,[15:0],child_count,Number of child nodes; used in discovery process dependent,RO,Configuration dependent
Table 4-157: por_cfgm_secure_access attributes,por_cfgm_secure_access,[63:2],Reserved,Reserved,RO,-
Table 4-157: por_cfgm_secure_access attributes,por_cfgm_secure_access,[1:0],configure_secure_access,Secure access mode 2'b00: Default operation 2'b01: Allows Non-secure access to Secure registers 2'b10: Allows Secure access only to any configuration register regardless of its security status 2'b11: Undefined behavior 2'b0,RW,-
Table 4-158: por_cfgm_secure_register_groups_override attributes,por_cfgm_secure_register_groups_override,[63:8],Reserved,Reserved,RO,-
Table 4-158: por_cfgm_secure_register_groups_override attributes,por_cfgm_secure_register_groups_override,[7],ras_secure_access_override,Allow Non-secure access to Secure RAS registers 1'b0,RW,-
Table 4-158: por_cfgm_secure_register_groups_override attributes,por_cfgm_secure_register_groups_override,[6:0],Reserved,Reserved,RO,-
Table 4-159: por_cfgm_errgsr_mxp_0-7 attributes,por_cfgm_errgsr_mxp_0-7,[63:0],err_status_#{index},Read-only copy of MXP [Error/Fault] <n> status 64'h0,RO,-
Table 4-160: por_cfgm_errgsr_mxp_0-7_NS attributes,por_cfgm_errgsr_mxp_0-7_NS,[63:0],err_status_#{index}_ns,Read-only copy of MXP [Error/Fault] <n> status 64'h0,RO,-
Table 4-161: por_cfgm_errgsr_hni_0-7 attributes,por_cfgm_errgsr_hni_0-7,[63:0],err_status_#{index},Read-only copy of HNI [Error/Fault] <n> status 64'h0,RO,-
Table 4-162: por_cfgm_errgsr_hni_0-7_NS attributes,por_cfgm_errgsr_hni_0-7_NS,[63:0],err_status_#{index}_ns,Read-only copy of HNI [Error/Fault] <n> status 64'h0,RO,-
Table 4-163: por_cfgm_errgsr_hnf_0-7 attributes,por_cfgm_errgsr_hnf_0-7,[63:0],err_status_#{index},Read-only copy of HNF [Error/Fault] <n> status 64'h0,RO,-
Table 4-164: por_cfgm_errgsr_hnf_0-7_NS attributes,por_cfgm_errgsr_hnf_0-7_NS,[63:0],err_status_#{index}_ns,Read-only copy of HNF [Error/Fault] <n> status 64'h0,RO,-
Table 4-165: por_cfgm_errgsr_sbsx_0-7 attributes,por_cfgm_errgsr_sbsx_0-7,[63:0],err_status_#{index},Read-only copy of SBSX [Error/Fault] <n> status 64'h0,RO,-
Table 4-166: por_cfgm_errgsr_sbsx_0-7_NS attributes,por_cfgm_errgsr_sbsx_0-7_NS,[63:0],err_status_#{index}_ns,Read-only copy of SBSX [Error/Fault] <n> status 64'h0,RO,-
Table 4-167: por_cfgm_errgsr_cxg_0-7 attributes,por_cfgm_errgsr_cxg_0-7,[63:0],err_status_#{index},Read-only copy of CXG [Error/Fault] <n> status 64'h0,RO,-
Table 4-168: por_cfgm_errgsr_cxg_0-7_NS attributes,por_cfgm_errgsr_cxg_0-7_NS,[63:0],err_status_#{index}_ns,Read-only copy of CXG [Error/Fault] <n> status 64'h0,RO,-
Table 4-169: por_cfgm_errgsr_mtsx_0-7 attributes,por_cfgm_errgsr_mtsx_0-7,[63:0],err_status_#{index},Read-only copy of MTSX [Error/Fault] <n> status 64'h0,RO,-
Table 4-170: por_cfgm_errgsr_mtsx_0-7_NS attributes,por_cfgm_errgsr_mtsx_0-7_NS,[63:0],err_status_#{index}_ns,Read-only copy of MTSX [Error/Fault] <n> status 64'h0,RO,-
Table 4-171: por_cfgm_errdevaff attributes,por_cfgm_errdevaff,[63:0],devaff,Device affinity register 64'b0,RO,-
Table 4-172: por_cfgm_errdevarch attributes,por_cfgm_errdevarch,[63:53],architect,Architect 11'h23B,RO,-
Table 4-172: por_cfgm_errdevarch attributes,por_cfgm_errdevarch,[52],present,Present 1'b1,RO,-
Table 4-172: por_cfgm_errdevarch attributes,por_cfgm_errdevarch,[51:48],revision,Architecture revision 4'b0,RO,-
Table 4-172: por_cfgm_errdevarch attributes,por_cfgm_errdevarch,[47:32],archid,Architecture ID 16'h0A00,RO,-
Table 4-172: por_cfgm_errdevarch attributes,por_cfgm_errdevarch,[31:0],Reserved,Reserved,RO,-
Table 4-173: por_cfgm_erridr attributes,por_cfgm_erridr,[63:16],Reserved,Reserved,RO,-
Table 4-173: por_cfgm_erridr attributes,por_cfgm_erridr,[15:0],recnum,Number of error records; equal to 2*(number of logical devices) dependent,RO,Configuration dependent
Table 4-174: por_cfgm_errpidr45 attributes,por_cfgm_errpidr45,[63:40],Reserved,Reserved,RO,-
Table 4-174: por_cfgm_errpidr45 attributes,por_cfgm_errpidr45,[39:32],pidr5,Peripheral ID 5 8'b0,RO,-
Table 4-174: por_cfgm_errpidr45 attributes,por_cfgm_errpidr45,[31:8],Reserved,Reserved,RO,-
Table 4-174: por_cfgm_errpidr45 attributes,por_cfgm_errpidr45,[7:0],pidr4,Peripheral ID 4 8'h4,RO,-
Table 4-175: por_cfgm_errpidr67 attributes,por_cfgm_errpidr67,[63:40],Reserved,Reserved,RO,-
Table 4-175: por_cfgm_errpidr67 attributes,por_cfgm_errpidr67,[39:32],pidr7,Peripheral ID 7 8'b0,RO,-
Table 4-175: por_cfgm_errpidr67 attributes,por_cfgm_errpidr67,[31:8],Reserved,Reserved,RO,-
Table 4-175: por_cfgm_errpidr67 attributes,por_cfgm_errpidr67,[7:0],pidr6,Peripheral ID 6 8'b0,RO,-
Table 4-176: por_cfgm_errpidr01 attributes,por_cfgm_errpidr01,[63:40],Reserved,Reserved,RO,-
Table 4-176: por_cfgm_errpidr01 attributes,por_cfgm_errpidr01,[39:32],pidr1,Peripheral ID 1 8'hb4,RO,-
Table 4-176: por_cfgm_errpidr01 attributes,por_cfgm_errpidr01,[31:8],Reserved,Reserved,RO,-
Table 4-176: por_cfgm_errpidr01 attributes,por_cfgm_errpidr01,[7:0],pidr0,Peripheral ID 0 8'h34,RO,-
Table 4-177: por_cfgm_errpidr23 attributes,por_cfgm_errpidr23,[63:40],Reserved,Reserved,RO,-
Table 4-177: por_cfgm_errpidr23 attributes,por_cfgm_errpidr23,[39:32],pidr3,Peripheral ID 3 8'b0,RO,-
Table 4-177: por_cfgm_errpidr23 attributes,por_cfgm_errpidr23,[31:8],Reserved,Reserved,RO,-
Table 4-177: por_cfgm_errpidr23 attributes,por_cfgm_errpidr23,[7:0],pidr2,Peripheral ID 2 8'h7,RO,-
Table 4-178: por_cfgm_errcidr01 attributes,por_cfgm_errcidr01,[63:40],Reserved,Reserved,RO,-
Table 4-178: por_cfgm_errcidr01 attributes,por_cfgm_errcidr01,[39:32],cidr1,Component ID 1 8'hff,RO,-
Table 4-178: por_cfgm_errcidr01 attributes,por_cfgm_errcidr01,[31:8],Reserved,Reserved,RO,-
Table 4-178: por_cfgm_errcidr01 attributes,por_cfgm_errcidr01,[7:0],cidr0,Component ID 0 8'hd,RO,-
Table 4-179: por_cfgm_errcidr23 attributes,por_cfgm_errcidr23,[63:40],Reserved,Reserved,RO,-
Table 4-179: por_cfgm_errcidr23 attributes,por_cfgm_errcidr23,[39:32],cidr3,Component ID 3 8'hb1,RO,-
Table 4-179: por_cfgm_errcidr23 attributes,por_cfgm_errcidr23,[31:8],Reserved,Reserved,RO,-
Table 4-179: por_cfgm_errcidr23 attributes,por_cfgm_errcidr23,[7:0],cidr2,Component ID 2 8'h5,RO,-
Table 4-180: por_info_global attributes,por_info_global,[63],mxp_multiple_dtm_en,Multiple DTMs feature enable. This is used if number of device ports on the XP is > 2 dependent,RO,Configuration dependent
Table 4-180: por_info_global attributes,por_info_global,[62:60],chix_ver,"CHIX Version Parameter: 2 -> CHIB, 3 -> CHIC, 4 -> CHID, 5 -> CHIE dependent",RO,Configuration dependent
Table 4-180: por_info_global attributes,por_info_global,[59],portfwd_en,CCIX Port to Port Forwarding feature enable dependent,RO,Configuration dependent
Table 4-180: por_info_global attributes,por_info_global,[58:54],xy_override_cnt,Number of Src-Tgt pairs whose XY route path can be overriden dependent,RO,Configuration dependent
Table 4-180: por_info_global attributes,por_info_global,[53:52],rsp_vc_num,"Number of additional RSP channels internal to MXP. For inreased bandwidth, this parameter need to be set to 2 dependent",RO,Configuration dependent
Table 4-180: por_info_global attributes,por_info_global,[51:50],dat_vc_num,"Number of additional DAT channels internal to MXP. For inreased bandwidth, this parameter need to be set to 2 dependent",RO,Configuration dependent
Table 4-180: por_info_global attributes,por_info_global,[49],mpam_en,MPAM enable dependent,RO,Configuration dependent
Table 4-180: por_info_global attributes,por_info_global,[48],r2_enable,CMN R2 feature enable dependent,RO,Configuration dependent
Table 4-180: por_info_global attributes,por_info_global,[47],meta_data_en,Meta Data Preservation mode enable dependent,RO,Configuration dependent
Table 4-180: por_info_global attributes,por_info_global,[46:44],Reserved,Reserved,RO,-
Table 4-180: por_info_global attributes,por_info_global,[43:36],rnsam_num_add_hashed_tgt,"Number of additional hashed target ID's supported by the RN SAM, beyond the local HNF count dependent",RO,Configuration dependent
Table 4-180: por_info_global attributes,por_info_global,[35:26],num_remote_rnf,Number of remote RN-F devices in the system when the CML feature is enabled dependent,RO,Configuration dependent
Table 4-180: por_info_global attributes,por_info_global,[25],flit_parity_en,Indicates whether parity checking is enabled in the transport layer on all flits sent on the interconnect dependent,RO,Configuration dependent
Table 4-180: por_info_global attributes,por_info_global,[24],datacheck_en,Indicates whether datacheck feature is enabled for CHI DAT flit dependent,RO,Configuration dependent
Table 4-180: por_info_global attributes,por_info_global,[23:16],physical_address_width,Physical address width dependent,RO,Configuration dependent
Table 4-180: por_info_global attributes,por_info_global,[15:8],chi_req_addr_width,REQ address width dependent,RO,Configuration dependent
Table 4-180: por_info_global attributes,por_info_global,[7:0],chi_req_rsvdc_width,RSVDC field width in CHI REQ flit dependent,RO,Configuration dependent
Table 4-181: por_info_global_1 attributes,por_info_global_1,[63:25],Reserved,Reserved,RO,-
Table 4-181: por_info_global_1 attributes,por_info_global_1,[24],mxp_axu_enable,MXP AXU interface Enable dependent,RO,Configuration dependent
Table 4-181: por_info_global_1 attributes,por_info_global_1,[23],rnsam_compact_hn_tables_enable,RNSAM Compact HN Tables Enable dependent,RO,Configuration dependent
Table 4-181: por_info_global_1 attributes,por_info_global_1,[22],mxp_dat_wh_route_enable,Worm Hole Routing Enable for MXP DAT channel dependent,RO,Configuration dependent
Table 4-181: por_info_global_1 attributes,por_info_global_1,[21],rsvdc_strongnc_enable,RSVDC StrongNC Mode Enable dependent,RO,Configuration dependent
Table 4-181: por_info_global_1 attributes,por_info_global_1,[20],mcs_pub_rsl_enable,Register Slice enable for MCS PUB outputs dependent,RO,Configuration dependent
Table 4-181: por_info_global_1 attributes,por_info_global_1,[19],chi_mte_enable,CHI MTE Feature Enable dependent,RO,Configuration dependent
Table 4-181: por_info_global_1 attributes,por_info_global_1,[18:16],rxbuf_num_entries_mcs,RX Buffer Entries at upload interface of MCSX/MCSY dependent,RO,Configuration dependent
Table 4-181: por_info_global_1 attributes,por_info_global_1,[15:13],rsvdc_pbha_width,RSVDC PBHA Field Width dependent,RO,Configuration dependent
Table 4-181: por_info_global_1 attributes,por_info_global_1,[12],rsvdc_pbha_en,RSVDC PBHA Mode Enable dependent,RO,Configuration dependent
Table 4-181: por_info_global_1 attributes,por_info_global_1,[11:9],rsvdc_lb_width,RSVDC Loop Back Field Width dependent,RO,Configuration dependent
Table 4-181: por_info_global_1 attributes,por_info_global_1,[8],rsvdc_lb_en,RSVDC Loop Back Mode Enable dependent,RO,Configuration dependent
Table 4-181: por_info_global_1 attributes,por_info_global_1,[7:5],Reserved,Reserved,RO,-
Table 4-181: por_info_global_1 attributes,por_info_global_1,[4],mesh2x_def_sel,Default ping-pong scheme selection for TGTID Lookup in 2xMESH dependent,RO,Configuration dependent
Table 4-181: por_info_global_1 attributes,por_info_global_1,[3:2],snp_vc_num,"Number of additional SNP channels internal to MXP. For inreased bandwidth, this parameter need to be set to 2 dependent",RO,Configuration dependent
Table 4-181: por_info_global_1 attributes,por_info_global_1,[1:0],req_vc_num,"Number of additional REQ channels internal to MXP. For inreased bandwidth, this parameter need to be set to 2 dependent",RO,Configuration dependent
Table 4-182: por_ppu_int_enable attributes,por_ppu_int_enable,[63:0],hnf_ppu_enable,Interrupt mask 64'b0,RW,-
Table 4-183: por_ppu_int_enable_1 attributes,por_ppu_int_enable_1,[63:0],hnf_ppu_enable_1,Interrupt mask 64'b0,RW,-
Table 4-184: por_ppu_int_status attributes,por_ppu_int_status,[63:0],hnf_ppu_status,Interrupt status 64'b0,W1C,-
Table 4-185: por_ppu_int_status_1 attributes,por_ppu_int_status_1,[63:0],hnf_ppu_status_1,Interrupt status 64'b0,W1C,-
Table 4-186: por_ppu_qactive_hyst attributes,por_ppu_qactive_hyst,[63:16],Reserved,Reserved,RO,-
Table 4-186: por_ppu_qactive_hyst attributes,por_ppu_qactive_hyst,[15:0],hnf_ppu_qact_hyst,QACTIVE hysteresis 16'h10,RW,-
Table 4-187: por_mpam_s_err_int_status attributes,por_mpam_s_err_int_status,[63:0],hnf_mpam_s_err_int_status,MPAM S Interrupt status 64'b0,W1C,-
Table 4-188: por_mpam_s_err_int_status_1 attributes,por_mpam_s_err_int_status_1,[63:0],hnf_mpam_s_err_int_status_1,MPAM S Interrupt status 64'b0,W1C,-
Table 4-189: por_mpam_ns_err_int_status attributes,por_mpam_ns_err_int_status,[63:0],hnf_mpam_ns_err_int_status,MPAM NS Interrupt status 64'b0,W1C,-
Table 4-190: por_mpam_ns_err_int_status_1 attributes,por_mpam_ns_err_int_status_1,[63:0],hnf_mpam_ns_err_int_status_1,MPAM NS Interrupt status 64'b0,W1C,-
Table 4-191: por_cfgm_child_pointer_0-255 attributes,por_cfgm_child_pointer_0-255,[63:32],Reserved,Reserved,RO,-
Table 4-191: por_cfgm_child_pointer_0-255 attributes,por_cfgm_child_pointer_0-255,[31:0],relative_address,Bits: 32'b0,RO,-
Table 4-192: por_cxlapb_link_rx_credit_ctl attributes,por_cxlapb_link_rx_credit_ctl,[63:50],Reserved,Reserved,RO,-
Table 4-192: por_cxlapb_link_rx_credit_ctl attributes,por_cxlapb_link_rx_credit_ctl,[49:40],mem_data_credits,Credits to advertise for Mem Data channel at init dependent,RW,Configuration dependent
Table 4-192: por_cxlapb_link_rx_credit_ctl attributes,por_cxlapb_link_rx_credit_ctl,[39:30],mem_req_rsp_credits,Credits to advertise for Mem Request or Response channel at init dependent,RW,Configuration dependent
Table 4-192: por_cxlapb_link_rx_credit_ctl attributes,por_cxlapb_link_rx_credit_ctl,[29:20],cache_data_credits,Credits to advertise for Cache Data channel at init dependent,RW,Configuration dependent
Table 4-192: por_cxlapb_link_rx_credit_ctl attributes,por_cxlapb_link_rx_credit_ctl,[19:10],cache_rsp_credits,Credits to advertise for Cache Response channel at init dependent,RW,Configuration dependent
Table 4-192: por_cxlapb_link_rx_credit_ctl attributes,por_cxlapb_link_rx_credit_ctl,[9:0],cache_req_credits,Credits to advertise for Cache Request channel at init dependent,RW,Configuration dependent
Table 4-193: por_cxlapb_link_rx_credit_return_stat attributes,por_cxlapb_link_rx_credit_return_stat,[63:50],Reserved,Reserved,RO,-
Table 4-193: por_cxlapb_link_rx_credit_return_stat attributes,por_cxlapb_link_rx_credit_return_stat,[49:40],mem_data_credits,Running snapshot of accumulated Mem Data credits to be returned 10'b0,RO,-
Table 4-193: por_cxlapb_link_rx_credit_return_stat attributes,por_cxlapb_link_rx_credit_return_stat,[39:30],mem_req_rsp_credits,Running snapshot of accumulated Mem Request or Response credits to be returned 10'b0,RO,-
Table 4-193: por_cxlapb_link_rx_credit_return_stat attributes,por_cxlapb_link_rx_credit_return_stat,[29:20],cache_data_credits,Running snapshot of accumulated Cache Data credits to be returned 10'b0,RO,-
Table 4-193: por_cxlapb_link_rx_credit_return_stat attributes,por_cxlapb_link_rx_credit_return_stat,[19:10],cache_rsp_credits,Running snapshot of accumulated Cache Response credits to be returned 10'b0,RO,-
Table 4-193: por_cxlapb_link_rx_credit_return_stat attributes,por_cxlapb_link_rx_credit_return_stat,[9:0],cache_req_credits,Running snapshot of accumulated Cache Request credits to be returned 10'b0,RO,-
Table 4-194: por_cxlapb_link_tx_credit_stat attributes,por_cxlapb_link_tx_credit_stat,[63:50],Reserved,Reserved,RO,-
Table 4-194: por_cxlapb_link_tx_credit_stat attributes,por_cxlapb_link_tx_credit_stat,[49:40],mem_data_credits,Running snapshot of accumulated Mem Data credits for TX 10'b0,RO,-
Table 4-194: por_cxlapb_link_tx_credit_stat attributes,por_cxlapb_link_tx_credit_stat,[39:30],mem_req_rsp_credits,Running snapshot of accumulated Mem Request or Response credits for TX 10'b0,RO,-
Table 4-194: por_cxlapb_link_tx_credit_stat attributes,por_cxlapb_link_tx_credit_stat,[29:20],cache_data_credits,Running snapshot of accumulated Cache Data credits for TX 10'b0,RO,-
Table 4-194: por_cxlapb_link_tx_credit_stat attributes,por_cxlapb_link_tx_credit_stat,[19:10],cache_rsp_credits,Running snapshot of accumulated Cache Response credits for TX 10'b0,RO,-
Table 4-194: por_cxlapb_link_tx_credit_stat attributes,por_cxlapb_link_tx_credit_stat,[9:0],cache_req_credits,Running snapshot of accumulated Cache Request credits for TX 10'b0,RO,-
Table 4-195: por_cxlapb_cxl_security_policy attributes,por_cxlapb_cxl_security_policy,[63:2],Reserved,Reserved,RO,-
Table 4-195: por_cxlapb_cxl_security_policy attributes,por_cxlapb_cxl_security_policy,[1:0],Device_Trust_Level,0 --> Trusted CXL Device. At this setting a CXL Device will be able to get access on CXL.cache for both host-attached and device attached memory ranges. The Host can still protect security sensitive memory regions. '1 --> Trusted for Device Attached Memory Range Only. At this setting a CXL Device will be able to get access on CXL.cache for device attached memory ranges only. Requests on CXL.cache for host-attached memory ranges will be aborted by the Host. '2 --> Untrusted CXL Device. At this setting all requests on CXL.cache will be aborted by the Host. Please note that these settings only apply to requests on CXL.cache. The device can still source requests on CXL.io regardless of these settings. Protection on CXL.io will be implemented using IOMMU based page tables. Default value of this field is 2. 2'h2,RW,-
